work_type,title,byline,release_date,month,day,extra,source_url
birth,Fernando Fernán Gómez,Spanish actor and film director (1921–2007),1921-08-28,08,28,,https://en.wikipedia.org/wiki/Fernando_Fern%C3%A1n_G%C3%B3mez
birth,Nancy Kulp,American actress and educator (1921–1991),1921-08-28,08,28,,https://en.wikipedia.org/wiki/Nancy_Kulp
birth,L. B. Cole,American cartoonist,1918-08-28,08,28,,https://en.wikipedia.org/wiki/L._B._Cole
birth,Hélène Baillargeon,"Canadian singer, actor and folklorist (1916–1997)",1916-08-28,08,28,,https://en.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_Baillargeon
birth,Jack Vance,American writer (1916–2013),1916-08-28,08,28,,https://en.wikipedia.org/wiki/Jack_Vance
birth,Max Robertson,Sports commentator and author (1915–2009),1915-08-28,08,28,,https://en.wikipedia.org/wiki/Max_Robertson
birth,Tasha Tudor,American illustrator and writer (1915–2008),1915-08-28,08,28,,https://en.wikipedia.org/wiki/Tasha_Tudor
birth,Robertson Davies,Canadian novelist (1913–1995),1913-08-28,08,28,,https://en.wikipedia.org/wiki/Robertson_Davies
birth,Robert Irving (conductor),British conductor (1913–1991),1913-08-28,08,28,,https://en.wikipedia.org/wiki/Robert_Irving_(conductor)
birth,Terence Reese,Bridge player and writer,1913-08-28,08,28,,https://en.wikipedia.org/wiki/Terence_Reese
birth,Richard Tucker,American opera singer (1913–1975),1913-08-28,08,28,,https://en.wikipedia.org/wiki/Richard_Tucker
birth,Morris Graves,American painter (1910–2001),1910-08-28,08,28,,https://en.wikipedia.org/wiki/Morris_Graves
birth,Roger Tory Peterson,"American naturalist, ornithologist and writer (1908–1996)",1908-08-28,08,28,,https://en.wikipedia.org/wiki/Roger_Tory_Peterson
birth,John Betjeman,English poet (1906–1984),1906-08-28,08,28,,https://en.wikipedia.org/wiki/John_Betjeman
birth,Bruno Bettelheim,Austrian-American writer (1903–1990),1903-08-28,08,28,,https://en.wikipedia.org/wiki/Bruno_Bettelheim
birth,Charles Boyer,French-American actor (1899–1978),1899-08-28,08,28,,https://en.wikipedia.org/wiki/Charles_Boyer
birth,Andrei Platonov,Russian author,1899-08-28,08,28,,https://en.wikipedia.org/wiki/Andrei_Platonov
birth,Firaq Gorakhpuri,Indian Urdu poet,1896-08-28,08,28,,https://en.wikipedia.org/wiki/Firaq_Gorakhpuri
birth,Karl Böhm,Austrian conductor (1894–1981),1894-08-28,08,28,,https://en.wikipedia.org/wiki/Karl_B%C3%B6hm
birth,Benno Schotz,Estonian-Scottish sculptor,1891-08-28,08,28,,https://en.wikipedia.org/wiki/Benno_Schotz
birth,Evadne Price,"Australian-British writer, actress, astrologer and media personality (1888–1985)",1888-08-28,08,28,,https://en.wikipedia.org/wiki/Evadne_Price
birth,István Kühár,"Slovene Roman Catholic priest, politician and writer",1887-08-28,08,28,,https://en.wikipedia.org/wiki/Istv%C3%A1n_K%C3%BCh%C3%A1r
birth,Vance Palmer,Australian writer,1885-08-28,08,28,,https://en.wikipedia.org/wiki/Vance_Palmer
birth,Umberto Giordano,Italian opera composer,1867-08-28,08,28,,https://en.wikipedia.org/wiki/Umberto_Giordano
birth,Vittorio Sella,Italian photographer and mountaineer (1859–1943),1859-08-28,08,28,,https://en.wikipedia.org/wiki/Vittorio_Sella
birth,Edward Burne-Jones,English painter and designer (1833–1898),1833-08-28,08,28,,https://en.wikipedia.org/wiki/Edward_Burne-Jones
birth,Sheridan Le Fanu,Irish writer of Gothic literature and journalist (1814–1873),1814-08-28,08,28,,https://en.wikipedia.org/wiki/Sheridan_Le_Fanu
birth,Johann Wolfgang von Goethe,German writer and polymath (1749–1832),1749-08-28,08,28,,https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe
birth,Agostino Accorimboni,Italian composer (1739–1818),1739-08-28,08,28,,https://en.wikipedia.org/wiki/Agostino_Accorimboni
birth,Francisco de Sá de Miranda,Portuguese poet (1481–1558),1481-08-28,08,28,,https://en.wikipedia.org/wiki/Francisco_de_S%C3%A1_de_Miranda
birth,Kanō Motonobu,Japanese painter (1476–1559),1476-08-28,08,28,,https://en.wikipedia.org/wiki/Kan%C5%8D_Motonobu
birth,Liam Payne,English singer and songwriter (1993–2024),1993-08-29,08,29,,https://en.wikipedia.org/wiki/Liam_Payne
birth,Charlotte Ritchie,British actress (born 1989),1989-08-29,08,29,,https://en.wikipedia.org/wiki/Charlotte_Ritchie
birth,Hajime Isayama,Japanese manga artist (born 1986),1986-08-29,08,29,,https://en.wikipedia.org/wiki/Hajime_Isayama
birth,Lea Michele,American actress and singer (born 1986),1986-08-29,08,29,,https://en.wikipedia.org/wiki/Lea_Michele
birth,Jennifer Landon,American actress (born 1983),1983-08-29,08,29,,https://en.wikipedia.org/wiki/Jennifer_Landon
birth,Cayetano (Giorgos Bratanis),Greek musician,1977-08-29,08,29,,https://en.wikipedia.org/wiki/Cayetano_(Giorgos_Bratanis)
